book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
101,4137,4137,1030767,59,349113912,9.78035E+12,David Sedaris,2000,Me Talk Pretty One Day,Me Talk Pretty One Day,eng,3.97,495736,514276,14982,19718,29034,93427,178021,194076,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
104,6288,6288,3355573,181,307265439,9.78031E+12,Cormac McCarthy,2006,The Road,The Road,eng,3.95,504793,555787,38980,20086,36561,100989,190823,207328,https://images.gr-assets.com/books/1439197219m/6288.jpg,https://images.gr-assets.com/books/1439197219s/6288.jpg
115,2187,2187,1352495,125,312422156,9.78031E+12,Jeffrey Eugenides,2002,Middlesex,Middlesex,en-US,3.98,488243,507998,20880,19329,30503,89740,171099,197327,https://images.gr-assets.com/books/1437029776m/2187.jpg,https://images.gr-assets.com/books/1437029776s/2187.jpg
212,6867,6867,2307233,155,038572179X,9.78039E+12,Ian McEwan,2001,Atonement,Atonement,eng,3.88,347006,365658,14815,11473,25462,77135,134788,116800,https://images.gr-assets.com/books/1320449708m/6867.jpg,https://images.gr-assets.com/books/1320449708s/6867.jpg
249,4588,4588,1940137,104,618711651,9.78062E+12,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,Extremely Loud and Incredibly Close,en-US,3.97,294726,319116,21107,8847,20556,61303,109008,119402,https://images.gr-assets.com/books/1327879967m/4588.jpg,https://images.gr-assets.com/books/1327879967s/4588.jpg
268,6334,6334,1499998,159,1400078776,9.7814E+12,Kazuo Ishiguro,2005,Never Let Me Go,Never Let Me Go,eng,3.8,294123,323627,21927,9081,26036,78203,118163,92144,https://images.gr-assets.com/books/1353048590m/6334.jpg,https://images.gr-assets.com/books/1353048590s/6334.jpg
372,10176,10176,2582035,55,965904830,9.78097E+12,David Sedaris,2004,Dress Your Family in Corduroy and Denim,Dress Your Family in Corduroy and Denim,eng,4.08,191923,204247,5776,2483,6620,37230,82749,75165,https://images.gr-assets.com/books/1352983006m/10176.jpg,https://images.gr-assets.com/books/1352983006s/10176.jpg
374,21,21,2305997,155,076790818X,9.78077E+12,Bill Bryson,2003,A Short History of Nearly Everything,A Short History of Nearly Everything,en-US,4.19,191535,206367,9065,3514,7196,29992,71534,94131,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
398,1097,1097,2207547,61,60838582,9.78006E+12,Eric Schlosser,2001,Fast Food Nation : The Dark Side of the All-American Meal ,Fast Food Nation: The Dark Side of the All-American Meal,eng,3.73,179347,183361,5063,7881,12314,47602,69009,46555,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
407,5826,5826,859342,77,60838728,9.78006E+12,Ann Patchett,2001,Bel Canto,Bel Canto,eng,3.92,192330,200256,12134,4523,13395,43193,71190,67955,https://images.gr-assets.com/books/1352997328m/5826.jpg,https://images.gr-assets.com/books/1352997328s/5826.jpg
430,4929,4929,6191072,157,1400079276,9.7814E+12,"Haruki Murakami, Philip Gabriel",2002,海辺のカフカ [Umibe no Kafuka],Kafka on the Shore,en-US,4.13,167593,195365,13279,2593,7557,30809,75564,78842,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
467,297673,297673,3281466,9,1594489580,9.78159E+12,Junot Díaz,2007,The Brief Wondrous Life of Oscar Wao,The Brief Wondrous Life of Oscar Wao,eng,3.89,160330,181124,16640,5212,12924,37298,67080,58610,https://images.gr-assets.com/books/1391409748m/297673.jpg,https://images.gr-assets.com/books/1391409748s/297673.jpg
484,29059,29059,3185242,84,385720920,9.78039E+12,Chuck Palahniuk,2001,Choke,Choke,eng,3.69,154643,162963,5328,4541,13841,46314,60868,37399,https://images.gr-assets.com/books/1403186013m/29059.jpg,https://images.gr-assets.com/books/1403186013s/29059.jpg
508,1869,1869,1840613,57,805063897,9.78081E+12,Barbara Ehrenreich,2001,Nickel and Dimed: On (Not) Getting By in America,Nickel and Dimed: On (Not) Getting By in America,eng,3.6,152786,157470,5723,10628,14572,40395,53783,38092,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
516,3985,3985,2693329,80,312282990,9.78031E+12,Michael Chabon,2000,The Amazing Adventures of Kavalier & Clay,The Amazing Adventures of Kavalier & Clay,eng,4.17,147717,156603,9326,2958,7191,22236,52498,71720,https://images.gr-assets.com/books/1479660066m/3985.jpg,https://images.gr-assets.com/books/1479660066s/3985.jpg
522,49628,49628,1871423,113,375507256,9.78038E+12,David Mitchell,2004,Cloud Atlas,Cloud Atlas,eng,4.01,152441,172239,17001,5442,10645,28665,58983,68504,https://images.gr-assets.com/books/1406383769m/49628.jpg,https://images.gr-assets.com/books/1406383769s/49628.jpg
534,1044355,1044355,3255908,47,316143472,9.78032E+12,David Sedaris,2008,When You Are Engulfed in Flames,When You Are Engulfed in Flames,en-US,4.04,150898,156976,9013,1847,5695,30933,63930,54571,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
572,46756,46756,3143431,109,385721676,9.78039E+12,Margaret Atwood,2003,Oryx and Crake,"Oryx and Crake (MaddAddam, #1)",eng,4,151500,167177,10391,3548,8557,31794,64097,59181,https://images.gr-assets.com/books/1494109986m/46756.jpg,https://images.gr-assets.com/books/1494109986s/46756.jpg
587,256566,256566,886727,107,60529709,9.78006E+12,Jonathan Safran Foer,2002,Everything Is Illuminated,Everything Is Illuminated,eng,3.9,131492,144312,7019,4169,10063,30365,51579,48136,https://images.gr-assets.com/books/1479774440m/256566.jpg,https://images.gr-assets.com/books/1479774440s/256566.jpg
657,1768603,1768603,1766737,104,1416562591,9.78142E+12,Aravind Adiga,2008,The White Tiger,The White Tiger,eng,3.71,114531,125632,8334,2934,9631,34919,51398,26750,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
658,3805,3805,941200,133,1841156736,9.78184E+12,Jonathan Franzen,2001,The Corrections,The Corrections,eng,3.78,117657,131271,8201,6684,10960,27173,46440,40014,https://images.gr-assets.com/books/1355011305m/3805.jpg,https://images.gr-assets.com/books/1355011305s/3805.jpg
682,14201,14201,3921305,124,765356155,9.78077E+12,Susanna Clarke,2004,Jonathan Strange & Mr Norrell,Jonathan Strange & Mr Norrell,eng,3.8,133683,154688,11516,8086,14044,30972,48696,52890,https://images.gr-assets.com/books/1357027589m/14201.jpg,https://images.gr-assets.com/books/1357027589s/14201.jpg
753,29800,29800,30220,34,1932664084,9.78193E+12,Bryan Lee O'Malley,2004,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life","Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",eng,4.18,126864,130847,3118,3667,4891,18962,40649,62678,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
815,12497,12497,2996445,104,375706674,9.78038E+12,Cormac McCarthy,2005,No Country for Old Men,No Country for Old Men,eng,4.12,100513,110082,6281,1533,3795,16790,45304,42660,https://images.gr-assets.com/books/1443231179m/12497.jpg,https://images.gr-assets.com/books/1443231179s/12497.jpg
828,9516,9516,3303888,39,037571457X,9.78038E+12,"Marjane Satrapi, Mattias Ripa",2000,Persepolis,"Persepolis: The Story of a Childhood (Persepolis, #1)",eng,4.23,117103,119965,6588,1138,3121,16734,45474,53498,https://images.gr-assets.com/books/1425871473m/9516.jpg,https://images.gr-assets.com/books/1425871473s/9516.jpg
867,3867,3867,1882970,96,393328627,9.78039E+12,Nicole Krauss,2005,The History of Love,The History of Love,eng,3.91,98379,103470,9622,2251,7414,22791,35939,35075,https://images.gr-assets.com/books/1327911009m/3867.jpg,https://images.gr-assets.com/books/1327911009s/3867.jpg
883,78433,78433,3246409,103,1860498809,9.78186E+12,Margaret Atwood,2000,The Blind Assassin,The Blind Assassin,eng,3.95,98464,111284,5908,2340,6203,23409,42565,36767,https://images.gr-assets.com/books/1451445426m/78433.jpg,https://images.gr-assets.com/books/1451445426s/78433.jpg
895,7815,7815,1659905,57,1400078431,9.7814E+12,Joan Didion,2005,The Year of Magical Thinking,The Year of Magical Thinking,eng,3.86,94590,99308,7729,2670,7410,22435,35538,31255,https://images.gr-assets.com/books/1327878638m/7815.jpg,https://images.gr-assets.com/books/1327878638s/7815.jpg
917,944073,944073,929009,82,575079797,9.78058E+12,Joe Abercrombie,2006,The Blade Itself,"The Blade Itself (The First Law, #1)",eng,4.14,97501,107614,5521,1844,3944,15593,42598,43635,https://images.gr-assets.com/books/1284167912m/944073.jpg,https://images.gr-assets.com/books/1284167912s/944073.jpg
948,187020,187020,826474,49,375726403,9.78038E+12,Richard Russo,2001,Empire Falls,Empire Falls,eng,3.91,90811,93054,3722,1469,5164,21151,38013,27257,https://images.gr-assets.com/books/1403184884m/187020.jpg,https://images.gr-assets.com/books/1403184884s/187020.jpg
1005,3711,3711,7480,115,375703861,9.78038E+12,Zadie Smith,1999,White Teeth,White Teeth,en-US,3.75,82474,90629,5347,2679,7363,23002,34725,22860,https://images.gr-assets.com/books/1374739885m/3711.jpg,https://images.gr-assets.com/books/1374739885s/3711.jpg
