user_id,book_id,rating
1,268,3
1,5556,3
1,1796,5
1,867,3
4,249,4
9,658,4
9,101,5
9,372,4
9,212,5
9,2193,2
9,587,4
9,407,5
11,522,3
11,516,4
11,3560,5
11,3703,3
11,115,4
15,101,5
15,2193,4
15,115,5
18,572,4
18,3566,3
18,1102,2
18,101,4
18,372,3
18,2615,4
18,2770,5
18,9287,2
24,948,4
24,398,3
24,658,4
28,3504,4
28,2615,5
32,101,4
32,2615,4
32,398,4
34,9588,4
40,101,4
40,587,4
40,249,4
22,3298,3
31,3298,4
31,7522,4
43,101,4
31,2615,3
31,101,4
31,372,4
49,867,3
49,1843,5
46,268,4
24,883,3
55,212,5
62,572,5
58,5551,4
70,7022,3
70,1835,4
72,867,2
72,2136,4
73,268,4
73,115,4
73,587,3
73,1421,3
75,372,4
75,115,4
76,828,5
76,2451,4
85,101,4
85,516,4
55,2013,4
85,372,4
85,1096,4
85,4009,4
78,828,3
4,101,4
89,268,4
66,828,3
40,115,5
100,5911,3
26,8814,4
26,7874,4
103,867,5
105,374,5
54,1005,2
80,3156,3
80,8355,3
112,398,4
112,372,5
112,516,5
112,2284,5
113,572,3
108,372,3
108,101,4
108,1843,2
115,101,4
22,4885,5
54,249,5
90,372,4
116,7540,5
124,115,3
124,2677,4
124,2944,3
116,9579,4
126,101,5
126,2615,4
126,3092,4
126,6895,3
126,374,4
126,1102,4
126,2897,3
126,516,3
126,372,4
128,5037,4
86,7022,4
125,398,4
122,7022,3
24,372,4
136,101,4
137,6364,5
22,3560,3
141,6364,2
136,249,3
56,7008,4
4,398,3
142,3560,5
142,430,5
142,682,5
142,4788,4
143,516,3
142,268,5
142,3504,4
142,1005,4
142,6364,4
142,249,5
142,587,4
142,867,4
142,658,5
128,2284,3
128,430,5
128,2897,5
136,948,3
136,115,4
142,372,3
142,101,4
142,115,5
149,2770,3
149,398,5
151,883,2
151,572,5
143,1928,5
156,9794,4
156,572,5
156,883,4
156,516,4
130,1102,5
158,2155,4
36,828,4
36,2451,3
108,430,4
136,7008,5
136,3598,3
167,2193,3
167,1843,4
122,5551,3
169,115,4
169,212,5
169,658,4
174,249,5
167,1005,3
174,4614,3
174,867,4
174,101,5
169,883,3
177,4793,4
169,4108,5
177,372,4
177,2897,4
177,101,4
177,516,4
177,7916,3
175,1370,5
175,1102,3
173,101,4
112,5448,5
112,572,3
180,101,4
167,7874,3
116,3092,4
183,3092,4
183,430,4
183,249,5
171,1096,2
177,9439,3
185,101,4
185,587,3
185,430,4
187,101,5
187,2062,5
184,398,4
183,5274,4
183,2193,3
183,101,5
183,372,4
183,895,3
115,6664,5
112,101,4
112,895,4
112,1005,4
